Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
647	19857.7	2988.5	19857.7	2988.5	1489.09082	9190.31641	317.14517	0.46523	0.87371	982.65778	9479.76953	201	1	1	1	64.8864	64.8864	1654.25695	7.52061	19857.7	2988.5	19857.7	2988.5
647	25944.4	2416.8	25944.4	2416.8	1400.47363	8613.08691	317.66885	0.58279	0.74226	960.39441	8879.19531	204	1	0	1	108.11	108.11	1550.35564	7.90763	25944.4	2416.8	25944.4	2416.8
647	25960.5	2414.9	25960.5	2414.9	1357.88086	8126.43506	313.73990	0.65807	0.78236	990.98474	8663.74609	211	1	0	1	92.7252	92.7252	1462.75831	8.23283	25960.5	2414.9	25960.5	2414.9
647	25936.0	2442.0	25936.0	2442.0	1014.08966	6593.46826	325.47620	0.23423	0.77186	977.50391	7012.30859	215	1	0	1	102.249	102.249	1186.82429	10.48882	25936.0	2442.0	25936.0	2442.0
647	25961.6	2422.3	25961.6	2422.3	1240.17651	13560.24316	293.99918	1.46795	0.75159	966.21057	13753.25781	217	2	0	1	92.7252	92.7252	2440.84377	6.03793	25961.6	2422.3	25961.6	2422.3
647	5871.6	29336.7	5871.6	29336.7	1165.24915	21754.24609	328.80341	0.21398	1.09498	848.13031	22648.82813	219	3	5	1	4.392	4.392	3915.76430	5.37035	5871.6	29336.7	5871.6	29336.7
647	12247.6	18094.7	12247.6	18094.7	1040.03149	9185.79199	380.75882	1.38267	1.17914	1158.48169	9761.65625	231	1	0	1	-46.8	-46.8	1653.44256	11.02056	12247.6	18094.7	12247.6	18094.7
647	6358.8	25057.9	6358.8	25057.9	1112.13928	8777.83887	359.12506	1.06110	0.81699	840.75366	9284.51953	232	1	2	1	111.04	111.04	1580.01100	9.14039	6358.8	25057.9	6358.8	25057.9
647	25953.2	2432.1	25953.2	2432.1	1151.57324	27666.55078	298.16235	1.27531	0.77497	958.20557	27816.21875	235	4	0	1	88.3296	88.3296	4979.97914	4.28535	25953.2	2432.1	25953.2	2432.1
647	17351.9	20362.7	17351.9	20362.7	1066.47644	8368.92480	359.45364	0.33594	0.67199	1218.46887	9000.46094	238	1	3	1	183.568	183.568	1506.40646	11.03333	17351.9	20362.7	17351.9	20362.7
647	6328.4	25069.5	6328.4	25069.5	1001.14026	44094.37500	375.75650	1.30317	0.76379	852.43555	45191.77734	248	5	4	1	175.509	175.509	7936.98750	4.42647	6328.4	25069.5	6328.4	25069.5
647	25951.3	2424.1	25951.3	2424.1	1801.70679	18820.60938	312.04691	0.72434	0.78149	952.04718	19064.37500	250	2	0	1	91.9926	91.9926	3387.70969	5.01669	25951.3	2424.1	25951.3	2424.1
647	14897.9	28532.5	14897.9	28532.5	1418.48254	10265.75586	345.13947	0.83748	1.67690	1077.40356	10826.83984	254	1	3	1	-90.864	-90.864	1847.83605	8.16445	14897.9	28532.5	14897.9	28532.5
647	25941.0	2426.7	25941.0	2426.7	1079.02405	6711.43408	319.74454	0.36739	0.84958	919.76434	7021.54688	257	1	0	1	72.945	72.945	1208.05813	9.77670	25941.0	2426.7	25941.0	2426.7
647	37793.6	8909.4	37793.6	8909.4	1094.84412	7991.62744	346.21201	0.57124	0.79984	1035.44189	8437.16016	260	1	0	1	106.645	106.645	1438.49294	10.08032	37793.6	8909.4	37793.6	8909.4
647	25958.5	2422.1	25958.5	2422.1	1440.14502	25690.44336	292.63068	1.45717	0.85749	931.24194	26232.57813	261	4	0	1	66.3516	66.3516	4624.27980	4.37955	25958.5	2422.1	25958.5	2422.1
647	14287.7	7440.3	14287.7	7440.3	1567.08081	37386.42578	344.72232	0.57923	0.94524	1161.72778	37826.35938	265	4	0	1	39.978	39.978	6729.55664	4.55132	14287.7	7440.3	14287.7	7440.3
647	25969.1	2434.5	25969.1	2434.5	1500.19971	15151.86328	304.71075	0.98122	0.81374	940.25153	15523.35156	266	2	0	1	79.5384	79.5384	2727.33539	5.77348	25969.1	2434.5	25969.1	2434.5
647	25958.3	2420.4	25958.3	2420.4	1305.81799	7633.92725	309.42535	0.85992	0.75776	938.30017	7939.49219	270	1	0	1	97.8534	97.8534	1374.10690	8.31979	25958.3	2420.4	25958.3	2420.4
647	21797.4	5423.8	21797.4	5423.8	1064.93188	7393.57422	336.23264	0.06196	1.09376	1132.35840	7822.43750	271	1	0	1	1.8	1.8	1330.84336	10.62880	21797.4	5423.8	21797.4	5423.8
647	21828.8	5445.2	21828.8	5445.2	1497.11792	20211.37109	313.36404	0.61802	0.89604	1147.56897	20641.24219	273	2	1	1	58.293	58.293	3638.04680	5.07724	21828.8	5445.2	21828.8	5445.2
647	22906.8	28776.1	22906.8	28776.1	1016.49512	6191.73779	315.02701	0.81980	1.15541	1126.79089	6819.24609	275	1	4	1	-0.792	-0.792	1114.51280	11.07809	22906.8	28776.1	22906.8	28776.1
647	10401.1	12190.7	10401.1	12190.7	1250.21216	10629.49023	373.88126	1.34702	1.10642	1232.51990	11504.25000	277	1	1	1	-23.472	-23.472	1913.30824	9.58896	10401.1	12190.7	10401.1	12190.7
647	14870.7	28471.5	14870.7	28471.5	1271.31836	33380.05859	395.37427	0.78842	1.51842	1073.23596	34977.37500	279	3	1	1	-120.024	-120.024	6008.41055	5.55863	14870.7	28471.5	14870.7	28471.5
647	25920.4	2418.1	25920.4	2418.1	1057.15381	5512.90918	292.94891	1.45733	0.81093	939.49139	5848.92188	280	1	0	1	77.3406	77.3406	992.32365	10.06367	25920.4	2418.1	25920.4	2418.1
647	19851.9	2976.5	19851.9	2976.5	1691.91748	25449.53906	297.78363	1.24912	0.83856	962.43286	25820.36719	284	3	0	1	71.4798	71.4798	4580.91703	4.15196	19851.9	2976.5	19851.9	2976.5
647	25950.9	2422.9	25950.9	2422.9	1539.46655	16090.88281	310.51239	0.73324	0.84831	928.92963	16594.89844	285	2	0	1	71.4798	71.4798	2896.35891	5.63636	25950.9	2422.9	25950.9	2422.9
647	6341.5	25096.2	6341.5	25096.2	1246.74902	29811.17188	362.02850	0.90757	0.75493	850.42700	30544.27734	287	3	4	1	153.531	153.531	5366.01094	4.82621	6341.5	25096.2	6341.5	25096.2
647	39193.1	8082.2	39193.1	8082.2	1489.89490	8282.63574	300.14600	1.27980	1.06758	1031.87378	8578.18359	292	1	0	1	20.1978	20.1978	1490.87443	7.62208	39193.1	8082.2	39193.1	8082.2
647	19848.3	2966.9	19848.3	2966.9	1127.86731	6167.13379	299.24164	1.49203	0.65232	917.85718	6551.99805	301	1	0	1	122.762	122.762	1110.08408	9.37901	19848.3	2966.9	19848.3	2966.9
647	6405.3	25119.9	6405.3	25119.9	1015.05670	8015.99316	358.50385	1.09198	0.84322	826.37665	8529.26953	306	1	1	1	92.7252	92.7252	1442.87877	9.80158	6405.3	25119.9	6405.3	25119.9
647	19813.0	2983.8	19813.0	2983.8	1247.56470	13299.83594	296.60651	1.38838	0.73596	963.27393	13595.82813	307	2	0	1	97.8534	97.8534	2393.97047	6.22706	19813.0	2983.8	19813.0	2983.8
647	25953.3	2422.1	25953.3	2422.1	1049.03625	13251.76270	302.40997	1.08243	0.80069	905.12054	13590.18750	308	2	0	1	82.4688	82.4688	2385.31729	6.31108	25953.3	2422.1	25953.3	2422.1
